"ï..No.","Item_Name","Food_Category","Serving_Size","Calories","Total_Fat","Saturated_Fat","Trans_Fat","Cholesterol","Sodium","Carbohydrates","Protein","Sugar","Dietary_Fiber"
1291,"Turkey & Havarti Sandwich","Sandwiches",173,460,21,7,0,80,940,31,29,2,2
1624,"No Yolk Egg Sandwich","Sandwiches",244,420,19,2.5,0,25,940,40,22,7,7
742,"#7 Turkey Breast & Provolone, White Mini","Sandwiches",284,390,7,3.5,0,35,1240,56,25,5,3
550,"Hot Dogs","Sandwiches",545,545,35,15.5,1,61,1130,40,18,8,2
518,"Buffalo Chicken & Bacon Tostini","Sandwiches",288,600,22,8,0,100,1950,57,46,2,8
804,"#15 Meatball & Cheese, White Regular","Sandwiches",376,830,42,17.5,0,90,2005,75,38,9,6
1352,"Tuna Salad","Salads",362,310,24,4,0,40,380,11,15,6,4
1968,"Double Meat Whataburger Whatameal w/ Lower Calorie Sides","Burgers",1405,870,44,14,2,90,1500,72,47,17,5
1914,"Chorizo Breakfast Burrito","Sandwiches",231,520,28,11,0,395,1190,39,24,2,2
5,"Chicken Salad Sandwich","Sandwiches",176,400,14,3,0,50,840,44,18,6,2
1534,"Grilled Chicken Melt Whatameal w/ Lower Calorie Sides","Sandwiches",1260,550,14,5,0,105,1620,69,37,15,5
215,"All Natural Budweiser Beer Cheese Bacon Burger Single","Burgers",327,710,38,16,1,85,1430,51,40,11,3
1456,"Green Chile Double Jr","Burgers",201,540,30,12,1,65,1310,37,28,7,1
1476,"Grilled Chicken Melt Whatameal","Sandwiches",1001,1110,33,7,0,105,1700,172,37,89,7
2700,"Homestyle Cheeseburger","Burgers",212,550,27,12,1.5,95,1140,48,30,10,2
1642,"Chorizo Sunrise","Sandwiches",315,840,51,21,0.5,275,1460,61,36,8,5
2299,"#17 Jersey Mikes Famous Philly on Wheat Wrap","Sandwiches",371,750,35,16.5,0,115,2360,64,44,8,7
2077,"Three Cheese Steak Sandwich","Sandwiches",255,650,36,15,1,115,1750,44,42,7,2
1018,"Pork Roll, Egg & Cheese Sandwich, White","Sandwiches",278,630,34.5,16.5,0,510,1725,43,37,1,1
2670,"Loaded Italian","Sandwiches",308,680,40,14,0.5,100,2270,49,32,7,3
2797,"#1 Pork Roll, Egg & Cheese Sandwich on Plain Bagel","Sandwiches",289,660,34.5,17,0,510,1720,50,37,7,1
737,"#6 Roast Beef & Provolone, White Giant","Sandwiches",772,1320,42,17.5,0.5,230,1995,128,107,13,5
2661,"Chop House Cheddar Burger","Burgers",373,1110,69,26,2,150,1660,61,60,12,3
1219,"Tomato Basil Soup, Cup w/ Premium Saltine Crackers","Soup",188,280,17,10,0,50,1180,27,4,3,1
1673,"#1 BLT on White Giant","Sandwiches",505,1080,45,19,0,90,2930,126,42,9,4
1623,"Sausage, Egg & Cheese on Biscuit","Sandwiches",189,530,35,17,0,215,1190,34,19,5,2
1248,"55+ Hamburger","Burgers",199,610,32,8,1.5,90,560,40,27,7,1
1314,"Subway Club, 6 in","Sandwiches",240,310,4.5,1.5,0,40,840,46,23,8,5
173,"Oreo Cookie Hand Scooped Ice Cream Malt","Beverages",414,790,41,26,1.5,110,390,94,15,64,1
987,"California Cheesesteak, Tomato Wrap","Sandwiches",467,880,53,17.5,0,130,2080,61,40,13,3
2534,"California Cheesesteak on Spinach Wrap","Sandwiches",465,970,60,20.5,0,140,2350,64,44,11,3
1921,"California Dreamin, In a Tub","Salads",290,190,7,1.5,0,35,820,9,22,5,4
299,"Mint Oreo Concrete Mixer, Regular","Desserts",407,960,50,29,0,290,390,116,14,95,0
12,"Roast Beef Sandwich, Classic","Sandwiches",154,360,14,5,0.5,50,970,37,23,5,2
795,"#14 Veggie, White Giant","Sandwiches",729,1335,49.5,19.5,2,140,4000,136,86,13,13
167,"Chocolate Hand Scooped Ice Cream Shake","Beverages",397,700,36,25,1.5,105,300,84,12,59,1
930,"#16 Chicken Philly Cheese Steak, Flour Tortilla Wrap","Sandwiches",387,740,29,13.5,0,55,2075,65,56,9,5
407,"Macho Combo Burrito","Sandwiches",538,940,34,17,0.5,120,2320,100,50,4,15
1468,"Bacon & Cheese Whataburger Whatameal","Burgers",1148,1470,58,16,1,80,2200,196,44,94,8
1071,"Pastrami & Swiss, In a Tub","Salads",207,375,19.5,10,0,110,2000,12,38,5,0
1737,"Chicken Salad on White Giant","Sandwiches",758,1510,89,14,0,150,2630,129,47,13,5
1980,"Reuben Melt","Sandwiches",485,1090,61,22,0,155,3430,79,56,5,4
2639,"#15 Meatball & Cheese on Wheat Giant","Sandwiches",624,1540,78,34,0,165,3330,142,69,13,14
839,"#56 Big Kahuna Cheese Steak, White Regular","Sandwiches",440,710,25.5,13,0.5,115,2090,73,46,11,2
174,"Jalapeno All Natural Turkey Burger","Burgers",278,500,22,6,0,90,1450,43,31,9,3
1858,"#3 American Classic on Tomato Wrap","Sandwiches",396,570,20.5,10.5,0,75,2300,61,35,11,4
702,"California Cheesesteak, Spinach Wrap","Sandwiches",467,880,53,17.5,0,130,2100,62,40,10,3
1950,"Steak, Egg & Cheese on Biscuit","Sandwiches",182,400,20,12,0,195,1220,35,21,5,2
2742,"#18 Breaded Chicken Parmesan on White Regular","Sandwiches",338,680,22,8.5,0,85,1570,75,45,5,4
85,"Reese's Soft Serve Parfait, Mini","Desserts",196,460,29,9,0,35,300,38,14,33,3
1324,"Subway Club Salad","Salads",366,140,3.5,1,0,40,640,13,18,7,4
878,"#4 The Number Four, Spinach Wrap","Sandwiches",404,590,21,10,0,70,2340,65,36,9,4
773,"#11 Stickball Special, White Giant","Sandwiches",815,1130,37,15.5,0.5,115,3780,136,65,13,8
2403,"1/4 lb Cheeseburger","Burgers",182,440,23,9,1,75,1320,37,23,12,2
1941,"Chop House Cheddar Burger Whatameal","Burgers",1407,1940,91,28,2,150,1970,225,65,124,7
221,"The Green Burrito, Chicken","Sandwiches",613,930,38,17,0,145,2520,96,49,10,7
2610,"#3 American Classic on White Regular","Sandwiches",400,540,14,7.5,0,75,1955,68,35,7,3
2448,"8 Layer Veggie Burrito","Sandwiches",320,540,18,8,0,30,1200,72,18,3,9
95,"Strawberry n Almonds Soft Serve Parfait, Regular","Desserts",354,580,28,10,0,55,240,67,18,60,5
1058,"Mushroom & Brie Bisque, 12 oz","Soup",340,350,23.5,14,0.5,75,1375,25,10,4,3
2854,"Herbed Chicken & Fig Spread Small Sandwich","Sandwiches",156,300,8,2,0,45,720,43,19,9,2
543,"Cheeseburger","Burgers",303,840,55,26.5,2,165,1050,40,47,9,2
495,"Blueberry Muffin","Baked Goods",156,510,24,4.5,0,105,540,69,7,38,2
2281,"Charbroiled BBQ Chicken Sandwich, Trim It","Sandwiches",269,390,8,1.5,0,60,990,51,30,13,3
1007,"Timberline Chili w/ Beans, Cup","Soup",248,280,9,3.5,0.5,30,680,31,18,9,7
2790,"Double Meat Whataburger Jr w/ Cheese","Burgers",221,470,24,9,1,50,1090,37,26,6,2
967,"#56 Big Kahuna Cheese Steak, Wheat Wrap","Sandwiches",430,720,32,15.5,0.5,115,2155,65,45,9,6
1442,"Double Meat Whataburger","Burgers",400,830,44,14,2,90,1470,62,47,12,4
802,"#15 Meatball & Cheese, Wheat Regular","Sandwiches",376,850,42.5,18,0,90,2005,78,39,10,8
2175,"Epic Cali Steak & Guac Burrito","Sandwiches",414,800,39,13,0,70,1970,80,30,5,7
2498,"#2 Bacon, Egg & Cheese Sandwich on Kaiser Roll","Sandwiches",206,490,27.5,11,0,470,1110,33,28,3,0
613,"The Single All Natural Burger","Burgers",327,790,51,16,NA,80,1210,56,28,14,3
1427,"Turkey Sausage, Egg White & Cheese on Maple Flatbread","Sandwiches",169,310,12,6,0,45,990,31,19,7,3
798,"Chicken Salad, Wheat Regular","Sandwiches",426,825,49,7.5,0,80,1375,69,27,8,5
2873,"Epic Grilled Chicken Avocado Burrito","Sandwiches",499,840,36,7,0,90,2070,90,38,7,13
749,"#8 Club Sub, White Regular","Sandwiches",490,895,49,14.5,0.5,100,2285,70,43,8,4
1904,"Sausage, Egg & Cheese on Maple Flatbread","Sandwiches",169,470,30,12,0,215,1060,31,18,8,2
911,"#11 Stickball Special, Spinach Wrap","Sandwiches",473,700,30,13,0,95,2440,66,43,8,5
692,"Crispy Chicken Salad w/ Southwest Dressing","Salads",478,684,42,10,1,74,1998,55,29,6,8
2362,"Chicka Phila Roni on White Giant","Sandwiches",739,1460,57,26,1,310,4145,138,98,14,4
707,"#2 Jersey Shore's Favorite, White Mini","Sandwiches",276,395,8.5,4.5,0,40,1420,58,22,5,3
1587,"Cranberry Pecan Chicken, Low Calorie, Regular","Salads",356,560,24,7,0.5,75,1290,55,33,22,7
1615,"Black Forest Ham, 6 in","Sandwiches",219,290,4.5,1,0,25,800,46,18,8,5
241,"Sourdough Melt, Double","Burgers",255,710,45,21,1,150,905,34,45,2,1
2184,"#6 Roast Beef & Provolone on White Giant","Sandwiches",765,1330,42.5,18.5,0.5,235,1680,128,106,13,5
2739,"#18 Grilled Chicken Parmesan, In a Tub","Salads",223,340,16.5,7.5,0,100,820,6,41,4,1
448,"Philly Cheese Steak on Brooklyn Crust, Extra Large","Pizza",171,380,17,9,0,60,1070,37,19,3,2
119,"Original Chicken Sandwich","Sandwiches",190,450,16,3.5,0,60,990,48,28,4,2
2672,"#26 Bacon Ranch Chicken Cheese Steak on Tomato Wrap","Sandwiches",491,930,52.5,18.5,0,170,2635,64,50,16,3
291,"Chocolate, Waffle Cone, 3 Scoops","Desserts",369,790,35,21,1,235,335,110,16,79,4
1053,"Baja Chicken Enchilada Soup, 12 oz","Soup",340,350,21,8,0,70,1420,26,14,8,6
516,"Applewood Bacon & Spinach on Spinach Florentine Bagel","Sandwiches",310,770,43,17,0.5,365,1580,62,35,8,3
1847,"#8 Omelet w/ Ham & Bacon on Spinach Wrap","Sandwiches",309,740,39.5,17.5,0,500,1925,55,42,3,3
1505,"Buffalo Ranch Chicken Strip Sandwich Whatameal","Sandwiches",1123,1690,69,14,0,105,3080,227,46,93,9
205,"Single Super Bacon Cheese Burger","Burgers",293,840,52,19,1,115,1440,52,39,9,3
2391,"1/4 lb Low Carb Little Thickburger, Trim It","Burgers",182,220,15,6,NA,55,590,6,15,4,3
52,"King's Hawaiian Deluxe Fish Sandwich","Sandwiches",301,690,34,10,0.5,105,1000,74,25,19,2
113,"Tendercrisp Chicken Sandwich w/ Mayo","Sandwiches",248,660,40,7,0,70,1220,49,26,7,4
1226,"The Classic Burger","Burgers",347,710,42,16,2,120,750,44,36,10,1
421,"Chicken Bacon Avocado Salad","Salads",379,590,46,7,0,85,1110,23,23,6,5
2205,"1 Baja Fish Taco","Sandwiches",175,410,21,4,0,35,1290,40,13,7,3
792,"#14 Veggie, White Mini","Sandwiches",275,475,14.5,6,0.5,40,1375,58,28,5,5
964,"#56 Big Kahuna Cheese Steak, Flour Tortilla Wrap","Sandwiches",430,730,32,15.5,0.5,115,2085,67,45,10,5
1765,"Strawberry Premium Shake, Large","Beverages",659,800,14,11,0,40,470,153,23,129,2
308,"Turtle Sundae, 2 Scoop","Desserts",379,1040,62,28.7,1,225,460,112,15,88,2
985,"#44 Buffalo Chicken Cheese Steak, Tomato Wrap","Sandwiches",524,895,46,17,0,55,4050,64,57,14,3
2048,"Turkey & Bacon Guacamole, 6 in","Sandwiches",270,440,15,4,0,30,1280,50,24,8,7
541,"Turkey, Bacon & Avocado, License Locations Only","Sandwiches",316,640,32,6,0,80,1580,57,35,11,9
1934,"Charbroiled Santa Fe Chicken Sandwich","Sandwiches",255,550,25,6,0,135,1540,45,36,10,3
894,"#7 Turkey Breast & Provolone, Flour Tortilla Wrap","Sandwiches",396,555,18.5,8.5,0,60,1795,60,38,6,6
392,"Salted Caramel Cookie Dough Concrete Mixer, Mini","Desserts",241,610,26,16.5,0.7,148,485,84,8,61,0
183,"The 1/2 lb Original Six Dollar Thickburger","Burgers",418,1050,72,27,3,150,1820,62,40,20,3
359,"Vanilla Concrete Mixer w/ Snickers, Tall","Desserts",584,1490,83,47.5,2.5,400,495,161,26,137,2
837,"#56 Big Kahuna Cheese Steak, Wheat Regular","Sandwiches",440,725,26,13.5,0.5,115,2090,76,47,12,4
2015,"Sweet & Spicy Bacon Burger Jr Whatameal w/ Lower Calorie Sides","Burgers",859,640,33,13,1,80,1370,51,32,16,3
2665,"Protein Style Cheeseburger w/ Onion","Burgers",300,330,25,9,0,60,720,11,18,7,3
2443,"Chicken Wrap Protein Box","Sandwiches",257,460,22,8,0,45,610,45,20,13,4
2421,"Crispy Chicken Sandwich","Sandwiches",200,460,17,3,0,50,890,54,23,7,2
334,"Strawberry Concrete Mixer, Regular","Desserts",434,860,46,28,1.8,280,210,99,14,88,0
651,"Sourdough Breakfast Sandwich","Sandwiches",152,410,21,8,0,250,1010,35,20,4,2
2489,"Reeses Soft Serve Parfait, Regular","Desserts",352,920,60,19,0,55,620,75,28,64,6
513,"Santa Fe","Sandwiches",300,600,24,11,0,375,1450,60,35,8,2
1497,"Whataburger Patty Melt, Single Whatameal","Burgers",1022,1360,58,14,1,70,1500,180,33,89,5
1316,"Turkey Breast, Footlong","Sandwiches",438,560,7,2,0,40,1520,92,35,14,10
68,"8 Mini Pretzel Dogs w/ Butter","Sandwiches",176,510,29,12,0,65,1060,45,16,6,1
642,"Bacon Ultimate Cheeseburger","Burgers",272,930,65,25,3,165,1590,32,55,6,1
683,"Spicy Nacho Chicken Sandwich Munchie Meal","Sandwiches",573.12,1530,80,14,1,82,3239,155,48,9,13
1436,"Sausage, Egg White & Cheese on English Muffin","Sandwiches",176,400,23,9,0,55,760,28,18,3,1
1046,"Vegetarian Corn Green Chili Bisque, 12 oz","Soup",340,260,15,7,0,40,1570,25,6,6,3
1408,"Breakfast Sandwich on Homestyle Biscuit w/ Bacon, Egg & Cheese","Sandwiches",158,420,23,13,0,195,1120,34,19,5,2
2349,"#2 Jersey Shore Favorite on White Mini","Sandwiches",246,340,8.5,4.5,0,40,1115,44,20,4,2
2482,"Steak, Egg White & Cheese on English Muffin","Sandwiches",169,270,8,4,0,35,790,29,20,3,1
1542,"The House Salad","Salads",314,410,24,11,NA,30,715,34,12,6,3
1466,"Jalapeno & Cheese Whataburger","Burgers",352,680,32,12,1,65,1800,63,34,12,4
136,"Homestyle Cheeseburger","Burgers",212,550,27,12,1.5,95,1140,48,30,10,2
2550,"Mini Heavenly Chocolate Chip Cookie","Desserts",248,1150,61,32,1,160,720,146,14,84,5
2298,"#5 Steak, Egg & Cheese Sandwich on Kaiser Roll","Sandwiches",256,530,24.5,9.5,0,510,905,33,44,3,0
1846,"Buffalo Chicken Wrap on Tomato Wrap","Sandwiches",475,840,43,15,0,130,2970,63,50,13,5
138,"Fully Loaded Croissanwich","Sandwiches",207,570,37,15,0.5,195,1650,32,27,5,1
332,"Vanilla Waffle Cone, 3 Scoops","Desserts",369,850,45,27,1.5,280,255,100,15,73,1
2557,"Cheddar Cheese","Sandwiches",164,410,11,5,0,200,710,57,19,6,2
1687,"Nova Lox & Bagel","Sandwiches",248,480,17,9,0,50,1300,60,22,9,2
592,"Thickburger, Veg It","Burgers",255,550,33,8,NA,35,1190,56,11,14,3
2036,"The Big Chicken Fillet Sandwich","Sandwiches",288,650,33,6,0,70,1330,55,33,9,3
524,"Roasted Veggie Flatbread","Pizza",298,570,28,13,0.5,50,1090,55,25,7,4
1989,"Southern Pecan Pie, Slice","Desserts",156,670,33,9,0,100,430,86,7,58,1
184,"The 1/3 lb Original Six Dollar Thickburger","Burgers",347,830,51,16,2,95,1560,62,29,19,3
1482,"A1 Thick & Hearty Burger Jr Whatameal","Burgers",978,1250,49,12,1,65,1500,174,34,92,6
50,"Jamocha Shake, Small","Beverages",369,440,12,8,0,40,350,75,11,68,1
286,"Chocolate Concrete Mixer, Short","Desserts",295,590,30,18,1,205,240,74,12,62,3
2167,"Chocolate Chipper Sundae","Desserts",347,1010,59,34,0,120,340,113,8,92,4
2439,"Chicka Phila Roni on Flour Tortilla Wrap","Sandwiches",365,760,35,14.5,0,155,2075,63,49,6,5
1731,"Sunrise Subway Melt, 6 in","Sandwiches",281,510,20,7,0,205,1810,48,34,8,5
2159,"Sausage, Egg White & Cheese on Biscuit","Sandwiches",189,470,29,15,0,50,1050,32,19,4,2
465,"ExtravaganZZa on Gluten Free Crust, Small","Pizza",197,390,19,9,0,55,1170,37,17,6,3
2191,"Cranberry Pecan Chicken Salad, Regular, 2pm Close","Salads",351,610,31,8,1,75,1340,52,33,19,7
1924,"#9 Club Supreme on Wheat Giant","Sandwiches",831,1740,92.5,25.5,0.5,245,3375,133,94,14,9
1410,"Right Start Turkey Sausage Breakfast Sandwich","Sandwiches",186,310,11,4.5,0,45,820,29,21,3,2
29,"Ham, Egg & Cheese Wrap","Sandwiches",184,440,22,8,0,160,1280,42,17,5,4
603,"Grilled Steak Burrito","Sandwiches",248,490,18,8,NA,50,1730,56,26,3,6
1801,"Chicken Salad, In a Tub","Salads",312,530,47,7,0,80,700,9,16,5,3
2749,"Monterey Melt Jr","Burgers",214,600,37,13,1,75,1390,37,28,7,2
2777,"Chicken Noodle Soup, 16 oz","Soup",454,210,5,1.5,0,40,2210,24,16,3,0
1948,"Steak Bacon Ranch Cheesesteak on Tomato Wrap","Sandwiches",491,960,58.5,22.5,0,145,2825,62,48,15,3
219,"Taco Salad, Steak","Salads",560,870,53,17,0,120,1950,60,40,9,9
1758,"Bean, Rice & Cheese Burrito","Sandwiches",296,540,21,11,1.5,40,1360,67,21,4,7
1567,"#6 Roast Beef & Provolone on Wheat Mini","Sandwiches",275,460,15,4,0,80,540,44,36,5,4
2187,"Chef Salad","Salads",458,255,10,6,0,60,635,16,25,8,4
600,"Red Burrito, Steak","Sandwiches",342,610,26,12,NA,70,2320,60,31,4,7
378,"Raspberry Malt, Short","Beverages",314,610,32,19,1,200,180,70,11,62,1
1270,"Maui Zaui on Pan Crust w/ Zesty Red Sauce, Medium","Pizza",157,360,13,6,0,40,920,44,16,5,2
55,"Crispy Fish Flatbread Sandwich","Sandwiches",253,620,28,4,0,45,1100,72,20,6,3
2483,"Chorizo & Egg Burrito","Sandwiches",156,340,20,8,0,110,740,23,16,1,1
2609,"Sausage on Tomato Wrap","Sandwiches",393,910,56.5,17.5,0,110,2580,69,36,16,5
456,"Cali Chicken Bacon Ranch on Thin Crust, Medium","Pizza",161,480,31,10,0,75,1090,27,21,2,1
1205,"Coconut Cream Pie, Slice","Desserts",208,640,40,23,0.5,85,470,60,7,34,1
986,"#44 Buffalo Chicken Cheese Steak, Wheat Wrap","Sandwiches",524,885,46,16.5,0,55,3970,63,57,8,6
909,"#10 Tuna Fish, Tomato Wrap","Sandwiches",418,820,49,9,0,85,1585,63,32,11,4
51,"Smokehouse Brisket Sandwich","Sandwiches",203,600,35,12,1,100,1240,42,33,7,2
326,"Vanilla Malt, Tall","Beverages",511,1070,60,34.3,2,368,330,116,22,103,0
1110,"Steak Bacon Ranch Cheesesteak, Spinach Wrap","Sandwiches",478,830,46,18,0,130,2450,60,45,11,3
859,"#44 Buffalo Chicken Cheese Steak, White Regular","Sandwiches",534,875,39.5,14,0,55,3905,71,58,10,2
2455,"Whataburger Jr Whatameal w/ Lower Calorie Sides","Burgers",1173,350,11,4,0,25,780,47,15,11,3
2667,"Santa Fe Sandwich w/ Egg White","Sandwiches",255,510,17,9,0,65,1270,60,30,8,2
884,"#4 The Number Four, Wheat Wrap","Sandwiches",404,585,21,9.5,0,70,2240,63,36,6,7
88,"Strawberry n Almonds Soft Serve Parfait, Mini","Desserts",199,290,12,6,0,35,150,37,9,34,2
1370,"Carved Turkey Sandwich, 6 in","Sandwiches",247,330,5,0.5,0,45,890,45,25,8,5
2020,"#42 Chipotle Chicken Cheese Steak on Tomato Wrap","Sandwiches",413,990,59,17.5,0,155,2655,70,46,15,4
1746,"Patty Melt Pile On Sandwich","Sandwiches",475,1470,104,33,3.5,240,2080,49,64,5,2
180,"Monster Biscuit, California","Sandwiches",255,800,58,29,0.5,400,1800,41,30,4,2
408,"Half Pounder, Chorizo","Sandwiches",231,520,28,11,0,395,1190,39,24,2,2
1072,"#42 Chipotle Chicken Cheese Steak, In a Tub","Salads",326,710,51,15.5,0,70,1810,16,47,9,0
2827,"Pastrami & Swiss on White Giant","Sandwiches",587,1260,40,20,0,195,4330,138,86,12,4
1193,"Strawberry Malt","Beverages",550,900,48,28,0,175,340,107,12,76,0
1233,"Pumpkin Doughnut Muffin","Baked Goods",211,700,33,11,0,110,810,91,10,52,3
1029,"#1 BLT w/ Mayonnaise, Wheat Regular","Sandwiches",313,800,48,13.5,0,70,1665,69,23,6,4
2468,"Supreme Breakfast Sandwich","Sandwiches",312,880,59,21,1,375,2170,45,41,7,2
1290,"Chicken BLT Salad Sandwich","Sandwiches",181,470,25,4.5,0,60,890,35,21,3,3
318,"Chocolate Malt, Short","Beverages",312,660,32,19,1,200,225,82,11,67,0
2325,"#6 Famous Roast Beef & Provolone on Tomato Wrap","Sandwiches",412,720,29.5,13,0,120,1195,59,55,11,4
522,"Italian Chicken on Potato Roll","Sandwiches",308,680,31,9,0,95,1480,63,45,8,6
812,"#17 Jersey Mike's Famous Philly","Sandwiches",779,1290,40,22,1,205,3515,146,87,21,9
2166,"Cinnamon Walnut Strudel","Baked Goods",170,640,35,11,0,30,500,71,10,32,4
1931,"Green Chile Double","Burgers",379,980,57,21,2,125,1950,61,54,12,3
387,"Vanilla Concrete Mixer w/ Oreo, Tall","Desserts",557,1270,62,33,1.7,350,665,167,23,129,5
2079,"Grilled Burrito, Beef","Sandwiches",383,700,31,14,1.5,85,1800,71,36,5,8
1472,"Grilled Chicken Sandwich Whatameal","Sandwiches",1073,1150,35,5,0,95,1330,184,40,96,13
1032,"#1 BLT w/ Mayonnaise, White Mini","Sandwiches",224,535,27.5,8,0,40,1220,56,17,3,2
841,"#55 Big Kahuna Chicken Cheese Steak, Wheat Regular","Sandwiches",440,785,27,14,0.5,65,2390,75,62,12,4
1396,"Mega Melt Flatbread w/ Regular Egg, 6 in","Sandwiches",255,600,31,11,0,215,1890,44,34,3,2
2587,"Turkey & Cheddar, Deli","Sandwiches",194,270,18,5,0,60,960,7,22,2,1
336,"Strawberry Concrete Mixer, Mini","Desserts",212,420,22,13.6,0.9,136,102,49,7,43,0
490,"Pizza Bagel, Pepperoni","Pizza",202,530,23,12,0,55,1340,58,27,7,2
1588,"Steak & Cheese, 6 in","Sandwiches",245,380,10,4.5,0,50,1030,49,26,9,5
1905,"Double Western Bacon Cheeseburger","Burgers",332,1010,55,24,2,150,1980,76,55,16,4
244,"The Culver's Bacon Deluxe, Double","Burgers",299,850,56,21,1.4,165,1305,43,43,8,1
2186,"Twisted Cheese Sticks","Baked Goods",257,640,38,15,0,60,2030,52,22,6,5
2297,"Wildfire Chicken Salad, Low Calorie, Regular","Salads",390,450,13,4,0.5,60,1090,57,29,20,6
2820,"Whataburger Whatameal","Burgers",1351,1420,46,10,1,45,1530,226,34,124,8
528,"Spinach & Artichoke Chicken","Sandwiches",343,690,26,13,0.5,115,1390,66,49,8,7
2340,"55 Plus Cheeseburger","Burgers",220,690,39,12,1.5,110,860,41,32,8,1
1502,"Jalapeno Cheddar Biscuit w/ Gravy","Sandwiches",255,520,32,17,0,25,1630,45,11,2,2
2070,"Turkey & Cheddar on Potato Roll","Sandwiches",292,550,22,5,0,60,1440,60,14,7,3
2405,"Charbroiled Chicken Club, Low Carb It","Sandwiches",227,340,22,7,NA,75,1230,13,24,8,1
1496,"Monterey Melt Jr","Burgers",214,600,37,13,1,75,1390,37,28,7,2
1514,"Monterey Melt Whatameal w/ Lower Calorie Sides","Burgers",346,810,62,22,2,135,1660,14,46,8,3
2595,"Seared Steak, Egg & Tomatillo Wrap","Sandwiches",178,410,18,5,0,170,780,43,21,4,2
790,"#14 Veggie, Wheat Regular","Sandwiches",392,725,27.5,11.5,1,75,2065,73,46,8,9
2099,"Honey Mustard Chicken Crunch Salad","Salads",535,980,63,17,0,155,2050,63,44,28,5
1928,"#44 Buffalo Chicken Cheese Steak on Wheat Wrap","Sandwiches",537,950,54.5,17,0,165,3735,68,48,11,6
1602,"Guacamole Thickburger, Veg It","Burgers",279,670,46,10,0.5,45,1330,56,14,13,4
1972,"#13 The Original Italian on Flour Tortilla Wrap","Sandwiches",446,710,31,13,0,105,2770,65,43,6,6
2018,"California Cheesesteak, In a Tub","Salads",361,660,52,18,0,140,1510,12,35,8,0
1267,"Big Vinnie Pepperoni Pizza, Extra Large","Pizza",170,480,20,9,0,60,1240,53,21,3,3
98,"Peanut Butter Banana Waffle Bowl Sundae","Desserts",380,970,58,21,1,90,380,101,20,64,8
1469,"Double Meat Whataburger Jr","Burgers",208,420,20,6,1,40,870,37,23,6,2
279,"Caramel Cashew Sundae, 1 Scoop","Desserts",211,600,33,14.5,0.5,120,290,67,10,45,1
2740,"#19 BBQ Beef on White Regular","Sandwiches",357,780,18,5.5,0,130,1765,96,59,27,2
2304,"#10 Tuna Salad on White Giant","Sandwiches",761,1480,77,12,0,155,2740,135,58,14,5
1382,"Albuquerque Turkey, 6 in","Sandwiches",298.2,430,14,3.5,0,30,1230,51,24,9,8
582,"Frisco Breakfast Sandwich","Sandwiches",189,450,19,8,NA,230,1570,45,24,5,2
281,"Caramel Cashew Sundae, 3 Scoops","Desserts",449,1150,61,31.5,1.5,290,510,137,19,98,1
1562,"The Ranchero Zalad","Salads",464,630,38,10,NA,125,1260,31,40,8,9
2367,"Vanilla Shake","Beverages",397,700,35,24,1.5,105,240,86,12,65,0
1532,"Grilled Chicken Sandwich Whatameal w/ Lower Calorie Sides","Sandwiches",1253,460,13,3,0,95,1070,58,35,17,9
2616,"Taco Salad, Ground Beef","Salads",569,890,56,18,1,90,1890,62,35,9,11
1600,"Farm Boy Sandwich, High Calorie","Sandwiches",370,950,50,16,1,105,1950,89,29,6,8
1023,"Bacon, Egg & Cheese Sandwich, White","Sandwiches",215,530,27,10.5,0,470,1245,41,30,1,1
230,"ButterBurger Cheese, Double","Burgers",230,700,42,18,1.4,145,920,41,40,8,1
153,"The Breakfast Burger","Burgers",294,830,44,19,1,255,1540,68,39,13,4
255,"North Atlantic Cod Filet Sandwich","Sandwiches",209,600,33,5.2,0,85,835,50,26,6,1
1282,"Pepperoni Pizza, Skinny, Medium","Pizza",230,230,12,6,0,35,610,19,11,2,1
1447,"Biscuit Sandwich w/ Bacon","Sandwiches",164,470,29,14,0,230,1170,32,18,2,1
669,"Southwest Chicken Salad w/ Crispy Chicken","Salads",428,500,23,7,0,55,1260,52,28,5,8
2035,"Chipotle Turkey on Wheat Wrap","Sandwiches",445,890,55,16,0.5,110,2105,60,42,7,7
1159,"Sausage, Egg & Cheese on Toast","Sandwiches",172,520,35,12,4,225,1450,34,18,2,0
